,gender,iteration,loss,elapsed_time,steps,steps interval,rep
154,female,823,1.9824076e-05,137.47297167778015,190,250,2
155,female,698,1.9985237e-05,116.6204743385315,200,250,2
156,female,719,1.9992709e-05,119.85950255393982,210,250,2
157,female,831,1.9969862e-05,138.45462083816528,220,250,2
158,female,736,1.9994888e-05,122.84028911590576,230,250,2
159,female,726,1.9991825e-05,121.26112055778503,240,250,2
160,female,1064,1.9990412e-05,176.80331873893738,50,300,2
161,female,981,1.9975725e-05,163.39156484603882,60,300,2
162,female,801,1.9991574e-05,133.61199188232422,70,300,2
163,female,1168,1.999976e-05,194.83760929107666,80,300,2
164,female,781,1.9993742e-05,130.67914581298828,90,300,2
165,female,766,1.9995012e-05,127.5021402835846,100,300,2
166,female,832,1.999399e-05,138.9150607585907,110,300,2
167,female,741,1.9984254e-05,123.80438160896301,120,300,2
168,female,865,1.9988343e-05,144.28996539115906,130,300,2
169,female,698,1.9986634e-05,116.56117916107178,140,300,2
170,female,738,1.9995236e-05,123.08740067481995,150,300,2
171,female,735,1.9987172e-05,122.36380100250244,160,300,2
172,female,778,1.999172e-05,129.36800503730774,170,300,2
173,female,750,1.9987776e-05,124.98927474021912,180,300,2
174,female,752,1.9987481e-05,125.52211689949036,190,300,2
175,female,738,1.9999536e-05,123.25341439247131,200,300,2
176,female,795,1.9997278e-05,132.73081374168396,210,300,2
177,female,752,1.9994846e-05,125.47578430175781,220,300,2
178,female,805,1.999439e-05,134.13927483558655,230,300,2
179,female,777,1.9990875e-05,129.60059428215027,240,300,2
180,female,920,1.9999428e-05,153.51519966125488,50,200,3
181,female,713,1.9987092e-05,118.87451672554016,60,200,3
182,female,773,1.9997155e-05,128.8525733947754,70,200,3
183,female,708,1.9979972e-05,118.13668632507324,80,200,3
184,female,768,1.999174e-05,128.10318207740784,90,200,3
185,female,716,1.9999987e-05,119.44177150726318,100,200,3
186,female,678,1.9946583e-05,112.56979393959045,110,200,3
187,female,715,1.9996472e-05,119.31798124313354,120,200,3
188,female,696,1.9979252e-05,116.40274691581726,130,200,3
189,female,690,1.9968606e-05,115.13289713859558,140,200,3
190,female,884,1.998071e-05,147.737384557724,150,200,3
191,female,737,1.9999876e-05,122.92448616027832,160,200,3
192,female,799,1.9987008e-05,133.09100675582886,170,200,3
193,female,724,1.9997522e-05,120.59988355636597,180,200,3
194,female,715,1.9997913e-05,119.35713219642639,190,200,3
195,female,690,1.997715e-05,115.0929925441742,200,200,3
196,female,734,1.9992951e-05,121.98531866073608,210,200,3
197,female,749,1.9991181e-05,124.87190508842468,220,200,3
198,female,758,1.999949e-05,126.03644609451294,230,200,3
199,female,791,1.9986655e-05,131.91089582443237,240,200,3
200,female,995,1.9997327e-05,165.28935766220093,50,250,3
201,female,921,1.9991396e-05,153.8333978652954,60,250,3
202,female,823,1.9935094e-05,137.75686383247375,70,250,3
203,female,832,1.995283e-05,139.178302526474,80,250,3
204,female,738,1.9982986e-05,123.18462133407593,90,250,3
205,female,707,1.9994593e-05,118.04675674438477,100,250,3
206,female,690,1.9980564e-05,115.06558299064636,110,250,3
207,female,702,1.999306e-05,117.20878839492798,120,250,3
208,female,697,1.9987097e-05,116.02334856987,130,250,3
209,female,730,1.9991e-05,122.1145429611206,140,250,3
210,female,699,1.9989217e-05,116.25675320625305,150,250,3
211,female,697,1.9988498e-05,116.40399742126465,160,250,3
212,female,728,1.999466e-05,121.09123659133911,170,250,3
213,female,694,1.9991085e-05,115.65529942512512,180,250,3
214,female,694,1.9991261e-05,115.27234411239624,190,250,3
215,female,721,1.9987538e-05,120.20963883399963,200,250,3
